2017-12-30 00:00:55.830 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/demo/test],methods=[GET]}" onto public java.lang.Object com.bioodas.seckill.controller.SampleController.thymeleaf()
2017-12-30 00:00:55.834 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2017-12-30 00:00:55.834 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-12-30 00:00:55.882 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-12-30 00:00:55.882 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-12-30 00:00:55.943 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-12-30 00:00:56.978 [main] INFO  o.s.w.servlet.view.freemarker.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2017-12-30 00:00:57.277 [main] INFO  com.bioodas.seckill.util.RedisClientTest - Started RedisClientTest in 5.164 seconds (JVM running for 6.988)
2017-12-30 00:00:57.519 [Thread-4] INFO  o.s.w.context.support.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@7c24b813: startup date [Sat Dec 30 00:00:52 CST 2017]; root of context hierarchy
2017-12-30 00:01:03.823 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.bioodas.seckill.util.RedisClientTest], using SpringBootContextLoader
2017-12-30 00:01:03.838 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.bioodas.seckill.util.RedisClientTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-12-30 00:01:03.840 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.bioodas.seckill.util.RedisClientTest]: RedisClientTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-12-30 00:01:04.067 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.bioodas.seckill.MainApplication for test class com.bioodas.seckill.util.RedisClientTest
2017-12-30 00:01:04.079 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-12-30 00:01:04.110 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4313f5bc, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7f010382, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1e802ef9, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2b6faea6, org.springframework.test.context.transaction.TransactionalTestExecutionListener@778d1062, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@670002, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1f0f1111, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@49c386c8, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@56528192, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6e0dec4a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@96def03, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5ccddd20]
2017-12-30 00:01:04.659 [main] INFO  com.bioodas.seckill.util.RedisClientTest - Starting RedisClientTest on Mick with PID 1700 (started by Administrator in E:\dev\seckill)
2017-12-30 00:01:04.660 [main] INFO  com.bioodas.seckill.util.RedisClientTest - No active profile set, falling back to default profiles: default
2017-12-30 00:01:05.075 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@7c24b813: startup date [Sat Dec 30 00:01:05 CST 2017]; root of context hierarchy
2017-12-30 00:01:05.168 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
